,ids,labels,parents,values
0,Weather-Atlanta,Atlanta,,141625
1,Weather-Boston,Boston,,329762
2,Weather-Denver,Denver,,446283
3,Weather-Chicago,Chicago,,864007
4,Weather-Los Angeles,Los Angeles,,1090415
5,Atlanta-Partly Cloudy,Partly Cloudy,Weather-Atlanta,33083
6,Atlanta-Possible Drizzle,Possible Drizzle,Weather-Atlanta,3347
7,Atlanta-Mostly Cloudy,Mostly Cloudy,Weather-Atlanta,23352
8,Atlanta-Overcast,Overcast,Weather-Atlanta,18632
9,Atlanta-Clear,Clear,Weather-Atlanta,42811
10,Atlanta-Light Rain,Light Rain,Weather-Atlanta,3798
11,Atlanta-Drizzle,Drizzle,Weather-Atlanta,1728
12,Atlanta-Foggy,Foggy,Weather-Atlanta,2742
13,Atlanta-Rain,Rain,Weather-Atlanta,1238
14,Atlanta-Possible Light Rain,Possible Light Rain,Weather-Atlanta,614
15,Atlanta-Humid and Partly Cloudy,Humid and Partly Cloudy,Weather-Atlanta,3187
16,Atlanta-Possible Drizzle and Humid,Possible Drizzle and Humid,Weather-Atlanta,424
17,Atlanta-Humid and Mostly Cloudy,Humid and Mostly Cloudy,Weather-Atlanta,4012
18,Atlanta-Humid and Overcast,Humid and Overcast,Weather-Atlanta,798
19,Atlanta-Humid,Humid,Weather-Atlanta,1114
20,Atlanta-Light Rain and Humid,Light Rain and Humid,Weather-Atlanta,207
21,Atlanta-Possible Light Rain and Humid,Possible Light Rain and Humid,Weather-Atlanta,198
22,Atlanta-Rain and Humid,Rain and Humid,Weather-Atlanta,61
23,Atlanta-Possible Light Sleet,Possible Light Sleet,Weather-Atlanta,11
24,Atlanta-Humid and Foggy,Humid and Foggy,Weather-Atlanta,93
25,Atlanta-Possible Flurries,Possible Flurries,Weather-Atlanta,47
26,Atlanta-Heavy Rain,Heavy Rain,Weather-Atlanta,25
27,Atlanta-Drizzle and Humid,Drizzle and Humid,Weather-Atlanta,53
28,Atlanta-Light Snow,Light Snow,Weather-Atlanta,28
29,Atlanta-Light Sleet,Light Sleet,Weather-Atlanta,19
30,Atlanta-Possible Light Snow,Possible Light Snow,Weather-Atlanta,3
31,Partly Cloudy-Auto-Theft,Auto-Theft,Atlanta-Partly Cloudy,4456
32,Partly Cloudy-Robbery,Robbery,Atlanta-Partly Cloudy,2291
33,Partly Cloudy-Violence,Violence,Atlanta-Partly Cloudy,2636
34,Partly Cloudy-Burglary,Burglary,Atlanta-Partly Cloudy,23569
35,Partly Cloudy-Killing,Killing,Atlanta-Partly Cloudy,131
36,Possible Drizzle-Auto-Theft,Auto-Theft,Atlanta-Possible Drizzle,436
37,Possible Drizzle-Robbery,Robbery,Atlanta-Possible Drizzle,219
38,Possible Drizzle-Violence,Violence,Atlanta-Possible Drizzle,222
39,Possible Drizzle-Burglary,Burglary,Atlanta-Possible Drizzle,2462
40,Possible Drizzle-Killing,Killing,Atlanta-Possible Drizzle,8
41,Mostly Cloudy-Auto-Theft,Auto-Theft,Atlanta-Mostly Cloudy,3275
42,Mostly Cloudy-Robbery,Robbery,Atlanta-Mostly Cloudy,1372
43,Mostly Cloudy-Violence,Violence,Atlanta-Mostly Cloudy,1776
44,Mostly Cloudy-Burglary,Burglary,Atlanta-Mostly Cloudy,16864
45,Mostly Cloudy-Killing,Killing,Atlanta-Mostly Cloudy,65
46,Overcast-Auto-Theft,Auto-Theft,Atlanta-Overcast,2324
47,Overcast-Robbery,Robbery,Atlanta-Overcast,1101
48,Overcast-Violence,Violence,Atlanta-Overcast,1284
49,Overcast-Burglary,Burglary,Atlanta-Overcast,13868
50,Overcast-Killing,Killing,Atlanta-Overcast,55
51,Clear-Auto-Theft,Auto-Theft,Atlanta-Clear,5399
52,Clear-Robbery,Robbery,Atlanta-Clear,2744
53,Clear-Violence,Violence,Atlanta-Clear,3099
54,Clear-Burglary,Burglary,Atlanta-Clear,31429
55,Clear-Killing,Killing,Atlanta-Clear,140
56,Light Rain-Auto-Theft,Auto-Theft,Atlanta-Light Rain,502
57,Light Rain-Robbery,Robbery,Atlanta-Light Rain,213
58,Light Rain-Violence,Violence,Atlanta-Light Rain,246
59,Light Rain-Burglary,Burglary,Atlanta-Light Rain,2826
60,Light Rain-Killing,Killing,Atlanta-Light Rain,11
61,Drizzle-Auto-Theft,Auto-Theft,Atlanta-Drizzle,221
62,Drizzle-Robbery,Robbery,Atlanta-Drizzle,109
63,Drizzle-Violence,Violence,Atlanta-Drizzle,96
64,Drizzle-Burglary,Burglary,Atlanta-Drizzle,1299
65,Drizzle-Killing,Killing,Atlanta-Drizzle,3
66,Foggy-Auto-Theft,Auto-Theft,Atlanta-Foggy,298
67,Foggy-Robbery,Robbery,Atlanta-Foggy,152
68,Foggy-Violence,Violence,Atlanta-Foggy,158
69,Foggy-Burglary,Burglary,Atlanta-Foggy,2129
70,Foggy-Killing,Killing,Atlanta-Foggy,5
71,Rain-Auto-Theft,Auto-Theft,Atlanta-Rain,176
72,Rain-Robbery,Robbery,Atlanta-Rain,67
73,Rain-Violence,Violence,Atlanta-Rain,75
74,Rain-Burglary,Burglary,Atlanta-Rain,919
75,Rain-Killing,Killing,Atlanta-Rain,1
76,Possible Light Rain-Auto-Theft,Auto-Theft,Atlanta-Possible Light Rain,97
77,Possible Light Rain-Robbery,Robbery,Atlanta-Possible Light Rain,46
78,Possible Light Rain-Violence,Violence,Atlanta-Possible Light Rain,41
79,Possible Light Rain-Burglary,Burglary,Atlanta-Possible Light Rain,426
80,Possible Light Rain-Killing,Killing,Atlanta-Possible Light Rain,4
81,Humid and Partly Cloudy-Auto-Theft,Auto-Theft,Atlanta-Humid and Partly Cloudy,461
82,Humid and Partly Cloudy-Robbery,Robbery,Atlanta-Humid and Partly Cloudy,200
83,Humid and Partly Cloudy-Violence,Violence,Atlanta-Humid and Partly Cloudy,243
84,Humid and Partly Cloudy-Burglary,Burglary,Atlanta-Humid and Partly Cloudy,2274
85,Humid and Partly Cloudy-Killing,Killing,Atlanta-Humid and Partly Cloudy,9
86,Possible Drizzle and Humid-Auto-Theft,Auto-Theft,Atlanta-Possible Drizzle and Humid,65
87,Possible Drizzle and Humid-Robbery,Robbery,Atlanta-Possible Drizzle and Humid,26
88,Possible Drizzle and Humid-Violence,Violence,Atlanta-Possible Drizzle and Humid,36
89,Possible Drizzle and Humid-Burglary,Burglary,Atlanta-Possible Drizzle and Humid,291
90,Possible Drizzle and Humid-Killing,Killing,Atlanta-Possible Drizzle and Humid,6
91,Humid and Mostly Cloudy-Auto-Theft,Auto-Theft,Atlanta-Humid and Mostly Cloudy,570
92,Humid and Mostly Cloudy-Robbery,Robbery,Atlanta-Humid and Mostly Cloudy,210
93,Humid and Mostly Cloudy-Violence,Violence,Atlanta-Humid and Mostly Cloudy,300
94,Humid and Mostly Cloudy-Burglary,Burglary,Atlanta-Humid and Mostly Cloudy,2919
95,Humid and Mostly Cloudy-Killing,Killing,Atlanta-Humid and Mostly Cloudy,13
96,Humid and Overcast-Auto-Theft,Auto-Theft,Atlanta-Humid and Overcast,83
97,Humid and Overcast-Robbery,Robbery,Atlanta-Humid and Overcast,28
98,Humid and Overcast-Violence,Violence,Atlanta-Humid and Overcast,55
99,Humid and Overcast-Burglary,Burglary,Atlanta-Humid and Overcast,630
100,Humid and Overcast-Killing,Killing,Atlanta-Humid and Overcast,2
101,Humid-Auto-Theft,Auto-Theft,Atlanta-Humid,108
102,Humid-Robbery,Robbery,Atlanta-Humid,71
103,Humid-Violence,Violence,Atlanta-Humid,91
104,Humid-Burglary,Burglary,Atlanta-Humid,837
105,Humid-Killing,Killing,Atlanta-Humid,7
106,Light Rain and Humid-Auto-Theft,Auto-Theft,Atlanta-Light Rain and Humid,39
107,Light Rain and Humid-Robbery,Robbery,Atlanta-Light Rain and Humid,9
108,Light Rain and Humid-Violence,Violence,Atlanta-Light Rain and Humid,9
109,Light Rain and Humid-Burglary,Burglary,Atlanta-Light Rain and Humid,149
110,Light Rain and Humid-Killing,Killing,Atlanta-Light Rain and Humid,1
111,Possible Light Rain and Humid-Auto-Theft,Auto-Theft,Atlanta-Possible Light Rain and Humid,22
112,Possible Light Rain and Humid-Robbery,Robbery,Atlanta-Possible Light Rain and Humid,16
113,Possible Light Rain and Humid-Violence,Violence,Atlanta-Possible Light Rain and Humid,15
114,Possible Light Rain and Humid-Burglary,Burglary,Atlanta-Possible Light Rain and Humid,145
115,Possible Light Rain and Humid-Killing,,Atlanta-Possible Light Rain and Humid,0
116,Rain and Humid-Auto-Theft,Auto-Theft,Atlanta-Rain and Humid,11
117,Rain and Humid-Robbery,Robbery,Atlanta-Rain and Humid,2
118,Rain and Humid-Violence,Violence,Atlanta-Rain and Humid,6
119,Rain and Humid-Burglary,Burglary,Atlanta-Rain and Humid,42
120,Rain and Humid-Killing,,Atlanta-Rain and Humid,0
121,Possible Light Sleet-Auto-Theft,,Atlanta-Possible Light Sleet,0
122,Possible Light Sleet-Robbery,Robbery,Atlanta-Possible Light Sleet,1
123,Possible Light Sleet-Violence,Violence,Atlanta-Possible Light Sleet,1
124,Possible Light Sleet-Burglary,Burglary,Atlanta-Possible Light Sleet,9
125,Possible Light Sleet-Killing,,Atlanta-Possible Light Sleet,0
126,Humid and Foggy-Auto-Theft,Auto-Theft,Atlanta-Humid and Foggy,10
127,Humid and Foggy-Robbery,Robbery,Atlanta-Humid and Foggy,6
128,Humid and Foggy-Violence,Violence,Atlanta-Humid and Foggy,5
129,Humid and Foggy-Burglary,Burglary,Atlanta-Humid and Foggy,71
130,Humid and Foggy-Killing,Killing,Atlanta-Humid and Foggy,1
131,Possible Flurries-Auto-Theft,Auto-Theft,Atlanta-Possible Flurries,2
132,Possible Flurries-Robbery,Robbery,Atlanta-Possible Flurries,3
133,Possible Flurries-Violence,Violence,Atlanta-Possible Flurries,3
134,Possible Flurries-Burglary,Burglary,Atlanta-Possible Flurries,38
135,Possible Flurries-Killing,Killing,Atlanta-Possible Flurries,1
136,Heavy Rain-Auto-Theft,Auto-Theft,Atlanta-Heavy Rain,3
137,Heavy Rain-Robbery,Robbery,Atlanta-Heavy Rain,1
138,Heavy Rain-Violence,Violence,Atlanta-Heavy Rain,2
139,Heavy Rain-Burglary,Burglary,Atlanta-Heavy Rain,18
140,Heavy Rain-Killing,Killing,Atlanta-Heavy Rain,1
141,Drizzle and Humid-Auto-Theft,Auto-Theft,Atlanta-Drizzle and Humid,4
142,Drizzle and Humid-Robbery,Robbery,Atlanta-Drizzle and Humid,1
143,Drizzle and Humid-Violence,Violence,Atlanta-Drizzle and Humid,4
144,Drizzle and Humid-Burglary,Burglary,Atlanta-Drizzle and Humid,44
145,Drizzle and Humid-Killing,,Atlanta-Drizzle and Humid,0
146,Light Snow-Auto-Theft,Auto-Theft,Atlanta-Light Snow,6
147,Light Snow-Robbery,Robbery,Atlanta-Light Snow,2
148,Light Snow-Violence,Violence,Atlanta-Light Snow,1
149,Light Snow-Burglary,Burglary,Atlanta-Light Snow,19
150,Light Snow-Killing,,Atlanta-Light Snow,0
151,Light Sleet-Auto-Theft,Auto-Theft,Atlanta-Light Sleet,2
152,Light Sleet-Robbery,Robbery,Atlanta-Light Sleet,1
153,Light Sleet-Violence,,Atlanta-Light Sleet,0
154,Light Sleet-Burglary,Burglary,Atlanta-Light Sleet,16
155,Light Sleet-Killing,,Atlanta-Light Sleet,0
156,Possible Light Snow-Auto-Theft,,Atlanta-Possible Light Snow,0
157,Possible Light Snow-Robbery,,Atlanta-Possible Light Snow,0
158,Possible Light Snow-Violence,,Atlanta-Possible Light Snow,0
159,Possible Light Snow-Burglary,Burglary,Atlanta-Possible Light Snow,3
160,Possible Light Snow-Killing,,Atlanta-Possible Light Snow,0
161,Boston-Mostly Cloudy,Mostly Cloudy,Weather-Boston,48212
162,Boston-Possible Light Rain,Possible Light Rain,Weather-Boston,1060
163,Boston-Overcast,Overcast,Weather-Boston,62898
164,Boston-Partly Cloudy,Partly Cloudy,Weather-Boston,58490
165,Boston-Clear,Clear,Weather-Boston,118053
166,Boston-Light Rain,Light Rain,Weather-Boston,11129
167,Boston-Drizzle,Drizzle,Weather-Boston,6003
168,Boston-Possible Drizzle,Possible Drizzle,Weather-Boston,9638
169,Boston-Rain,Rain,Weather-Boston,2202
170,Boston-Humid and Partly Cloudy,Humid and Partly Cloudy,Weather-Boston,1365
171,Boston-Flurries,Flurries,Weather-Boston,174
172,Boston-Foggy,Foggy,Weather-Boston,4180
173,Boston-Humid and Mostly Cloudy,Humid and Mostly Cloudy,Weather-Boston,2020
174,Boston-Humid,Humid,Weather-Boston,1253
175,Boston-Light Rain and Humid,Light Rain and Humid,Weather-Boston,58
176,Boston-Humid and Overcast,Humid and Overcast,Weather-Boston,467
177,Boston-Possible Drizzle and Humid,Possible Drizzle and Humid,Weather-Boston,264
178,Boston-Drizzle and Humid,Drizzle and Humid,Weather-Boston,53
179,Boston-Light Sleet,Light Sleet,Weather-Boston,199
180,Boston-Possible Flurries,Possible Flurries,Weather-Boston,1252
181,Boston-Light Snow,Light Snow,Weather-Boston,370
182,Boston-Rain and Humid,Rain and Humid,Weather-Boston,70
183,Boston-Possible Light Snow,Possible Light Snow,Weather-Boston,47
184,Boston-Possible Light Sleet,Possible Light Sleet,Weather-Boston,191
185,Boston-Possible Light Rain and Humid,Possible Light Rain and Humid,Weather-Boston,101
186,Boston-Heavy Rain,Heavy Rain,Weather-Boston,13
187,Mostly Cloudy-Fraud,Fraud,Boston-Mostly Cloudy,1652
188,Mostly Cloudy-Burglary,Burglary,Boston-Mostly Cloudy,7167
189,Mostly Cloudy-Other,Other,Boston-Mostly Cloudy,11418
190,Mostly Cloudy-Property,Property,Boston-Mostly Cloudy,2258
191,Mostly Cloudy-Verbal,Verbal,Boston-Mostly Cloudy,988
192,Mostly Cloudy-Investigate ,Investigate ,Boston-Mostly Cloudy,4680
193,Mostly Cloudy-Violence,Violence,Boston-Mostly Cloudy,3577
194,Mostly Cloudy-Medical,Medical,Boston-Mostly Cloudy,3629
195,Mostly Cloudy-Vandalism,Vandalism,Boston-Mostly Cloudy,2403
196,Mostly Cloudy-M/V,M/V,Boston-Mostly Cloudy,4790
197,Mostly Cloudy-Auto-Theft,Auto-Theft,Boston-Mostly Cloudy,885
198,Mostly Cloudy-Warrant,Warrant,Boston-Mostly Cloudy,1345
199,Mostly Cloudy-Robbery,Robbery,Boston-Mostly Cloudy,666
200,Mostly Cloudy-VAL,VAL,Boston-Mostly Cloudy,76
201,Mostly Cloudy-Drugs,Drugs,Boston-Mostly Cloudy,2628
202,Mostly Cloudy-Killing,Killing,Boston-Mostly Cloudy,37
203,Mostly Cloudy-Arson,Arson,Boston-Mostly Cloudy,10
204,Mostly Cloudy-Towed,Towed,Boston-Mostly Cloudy,3
205,Possible Light Rain-Fraud,Fraud,Boston-Possible Light Rain,32
206,Possible Light Rain-Burglary,Burglary,Boston-Possible Light Rain,164
207,Possible Light Rain-Other,Other,Boston-Possible Light Rain,273
208,Possible Light Rain-Property,Property,Boston-Possible Light Rain,39
209,Possible Light Rain-Verbal,Verbal,Boston-Possible Light Rain,18
210,Possible Light Rain-Investigate ,Investigate ,Boston-Possible Light Rain,84
211,Possible Light Rain-Violence,Violence,Boston-Possible Light Rain,85
212,Possible Light Rain-Medical,Medical,Boston-Possible Light Rain,73
213,Possible Light Rain-Vandalism,Vandalism,Boston-Possible Light Rain,71
214,Possible Light Rain-M/V,M/V,Boston-Possible Light Rain,108
215,Possible Light Rain-Auto-Theft,Auto-Theft,Boston-Possible Light Rain,17
216,Possible Light Rain-Warrant,Warrant,Boston-Possible Light Rain,26
217,Possible Light Rain-Robbery,Robbery,Boston-Possible Light Rain,17
218,Possible Light Rain-VAL,,Boston-Possible Light Rain,0
219,Possible Light Rain-Drugs,Drugs,Boston-Possible Light Rain,53
220,Possible Light Rain-Killing,,Boston-Possible Light Rain,0
221,Possible Light Rain-Arson,,Boston-Possible Light Rain,0
222,Possible Light Rain-Towed,,Boston-Possible Light Rain,0
223,Overcast-Fraud,Fraud,Boston-Overcast,2380
224,Overcast-Burglary,Burglary,Boston-Overcast,9251
225,Overcast-Other,Other,Boston-Overcast,15099
226,Overcast-Property,Property,Boston-Overcast,2902
227,Overcast-Verbal,Verbal,Boston-Overcast,1309
228,Overcast-Investigate ,Investigate ,Boston-Overcast,6040
229,Overcast-Violence,Violence,Boston-Overcast,4590
230,Overcast-Medical,Medical,Boston-Overcast,4810
231,Overcast-Vandalism,Vandalism,Boston-Overcast,2981
232,Overcast-M/V,M/V,Boston-Overcast,6723
233,Overcast-Auto-Theft,Auto-Theft,Boston-Overcast,1074
234,Overcast-Warrant,Warrant,Boston-Overcast,1702
235,Overcast-Robbery,Robbery,Boston-Overcast,853
236,Overcast-VAL,VAL,Boston-Overcast,90
237,Overcast-Drugs,Drugs,Boston-Overcast,3036
238,Overcast-Killing,Killing,Boston-Overcast,38
239,Overcast-Arson,Arson,Boston-Overcast,13
240,Overcast-Towed,Towed,Boston-Overcast,7
241,Partly Cloudy-Fraud,Fraud,Boston-Partly Cloudy,1972
242,Partly Cloudy-Burglary,Burglary,Boston-Partly Cloudy,8719
243,Partly Cloudy-Other,Other,Boston-Partly Cloudy,13768
244,Partly Cloudy-Property,Property,Boston-Partly Cloudy,2660
245,Partly Cloudy-Verbal,Verbal,Boston-Partly Cloudy,1164
246,Partly Cloudy-Investigate ,Investigate ,Boston-Partly Cloudy,5496
247,Partly Cloudy-Violence,Violence,Boston-Partly Cloudy,4718
248,Partly Cloudy-Medical,Medical,Boston-Partly Cloudy,4264
249,Partly Cloudy-Vandalism,Vandalism,Boston-Partly Cloudy,2930
250,Partly Cloudy-M/V,M/V,Boston-Partly Cloudy,6013
251,Partly Cloudy-Auto-Theft,Auto-Theft,Boston-Partly Cloudy,1103
252,Partly Cloudy-Warrant,Warrant,Boston-Partly Cloudy,1560
253,Partly Cloudy-Robbery,Robbery,Boston-Partly Cloudy,896
254,Partly Cloudy-VAL,VAL,Boston-Partly Cloudy,94
255,Partly Cloudy-Drugs,Drugs,Boston-Partly Cloudy,3071
256,Partly Cloudy-Killing,Killing,Boston-Partly Cloudy,38
257,Partly Cloudy-Arson,Arson,Boston-Partly Cloudy,20
258,Partly Cloudy-Towed,Towed,Boston-Partly Cloudy,4
259,Clear-Fraud,Fraud,Boston-Clear,4410
260,Clear-Burglary,Burglary,Boston-Clear,17225
261,Clear-Other,Other,Boston-Clear,29279
262,Clear-Property,Property,Boston-Clear,5375
263,Clear-Verbal,Verbal,Boston-Clear,2370
264,Clear-Investigate ,Investigate ,Boston-Clear,11153
265,Clear-Violence,Violence,Boston-Clear,8835
266,Clear-Medical,Medical,Boston-Clear,8882
267,Clear-Vandalism,Vandalism,Boston-Clear,5812
268,Clear-M/V,M/V,Boston-Clear,12048
269,Clear-Auto-Theft,Auto-Theft,Boston-Clear,2154
270,Clear-Warrant,Warrant,Boston-Clear,3129
271,Clear-Robbery,Robbery,Boston-Clear,1591
272,Clear-VAL,VAL,Boston-Clear,190
273,Clear-Drugs,Drugs,Boston-Clear,5455
274,Clear-Killing,Killing,Boston-Clear,91
275,Clear-Arson,Arson,Boston-Clear,41
276,Clear-Towed,Towed,Boston-Clear,13
277,Light Rain-Fraud,Fraud,Boston-Light Rain,395
278,Light Rain-Burglary,Burglary,Boston-Light Rain,1622
279,Light Rain-Other,Other,Boston-Light Rain,2646
280,Light Rain-Property,Property,Boston-Light Rain,550
281,Light Rain-Verbal,Verbal,Boston-Light Rain,247
282,Light Rain-Investigate ,Investigate ,Boston-Light Rain,1065
283,Light Rain-Violence,Violence,Boston-Light Rain,804
284,Light Rain-Medical,Medical,Boston-Light Rain,880
285,Light Rain-Vandalism,Vandalism,Boston-Light Rain,565
286,Light Rain-M/V,M/V,Boston-Light Rain,1170
287,Light Rain-Auto-Theft,Auto-Theft,Boston-Light Rain,205
288,Light Rain-Warrant,Warrant,Boston-Light Rain,293
289,Light Rain-Robbery,Robbery,Boston-Light Rain,167
290,Light Rain-VAL,VAL,Boston-Light Rain,18
291,Light Rain-Drugs,Drugs,Boston-Light Rain,498
292,Light Rain-Killing,Killing,Boston-Light Rain,3
293,Light Rain-Arson,Arson,Boston-Light Rain,1
294,Light Rain-Towed,,Boston-Light Rain,0
295,Drizzle-Fraud,Fraud,Boston-Drizzle,249
296,Drizzle-Burglary,Burglary,Boston-Drizzle,923
297,Drizzle-Other,Other,Boston-Drizzle,1384
298,Drizzle-Property,Property,Boston-Drizzle,263
299,Drizzle-Verbal,Verbal,Boston-Drizzle,127
300,Drizzle-Investigate ,Investigate ,Boston-Drizzle,582
301,Drizzle-Violence,Violence,Boston-Drizzle,407
302,Drizzle-Medical,Medical,Boston-Drizzle,487
303,Drizzle-Vandalism,Vandalism,Boston-Drizzle,298
304,Drizzle-M/V,M/V,Boston-Drizzle,651
305,Drizzle-Auto-Theft,Auto-Theft,Boston-Drizzle,109
306,Drizzle-Warrant,Warrant,Boston-Drizzle,152
307,Drizzle-Robbery,Robbery,Boston-Drizzle,82
308,Drizzle-VAL,VAL,Boston-Drizzle,6
309,Drizzle-Drugs,Drugs,Boston-Drizzle,277
310,Drizzle-Killing,Killing,Boston-Drizzle,5
311,Drizzle-Arson,Arson,Boston-Drizzle,1
312,Drizzle-Towed,,Boston-Drizzle,0
313,Possible Drizzle-Fraud,Fraud,Boston-Possible Drizzle,339
314,Possible Drizzle-Burglary,Burglary,Boston-Possible Drizzle,1474
315,Possible Drizzle-Other,Other,Boston-Possible Drizzle,2224
316,Possible Drizzle-Property,Property,Boston-Possible Drizzle,415
317,Possible Drizzle-Verbal,Verbal,Boston-Possible Drizzle,180
318,Possible Drizzle-Investigate ,Investigate ,Boston-Possible Drizzle,945
319,Possible Drizzle-Violence,Violence,Boston-Possible Drizzle,712
320,Possible Drizzle-Medical,Medical,Boston-Possible Drizzle,806
321,Possible Drizzle-Vandalism,Vandalism,Boston-Possible Drizzle,521
322,Possible Drizzle-M/V,M/V,Boston-Possible Drizzle,1018
323,Possible Drizzle-Auto-Theft,Auto-Theft,Boston-Possible Drizzle,178
324,Possible Drizzle-Warrant,Warrant,Boston-Possible Drizzle,252
325,Possible Drizzle-Robbery,Robbery,Boston-Possible Drizzle,130
326,Possible Drizzle-VAL,VAL,Boston-Possible Drizzle,19
327,Possible Drizzle-Drugs,Drugs,Boston-Possible Drizzle,417
328,Possible Drizzle-Killing,Killing,Boston-Possible Drizzle,6
329,Possible Drizzle-Arson,Arson,Boston-Possible Drizzle,2
330,Possible Drizzle-Towed,,Boston-Possible Drizzle,0
331,Rain-Fraud,Fraud,Boston-Rain,65
332,Rain-Burglary,Burglary,Boston-Rain,332
333,Rain-Other,Other,Boston-Rain,544
334,Rain-Property,Property,Boston-Rain,132
335,Rain-Verbal,Verbal,Boston-Rain,52
336,Rain-Investigate ,Investigate ,Boston-Rain,187
337,Rain-Violence,Violence,Boston-Rain,133
338,Rain-Medical,Medical,Boston-Rain,176
339,Rain-Vandalism,Vandalism,Boston-Rain,108
340,Rain-M/V,M/V,Boston-Rain,284
341,Rain-Auto-Theft,Auto-Theft,Boston-Rain,29
342,Rain-Warrant,Warrant,Boston-Rain,43
343,Rain-Robbery,Robbery,Boston-Rain,28
344,Rain-VAL,VAL,Boston-Rain,3
345,Rain-Drugs,Drugs,Boston-Rain,83
346,Rain-Killing,Killing,Boston-Rain,3
347,Rain-Arson,,Boston-Rain,0
348,Rain-Towed,,Boston-Rain,0
349,Humid and Partly Cloudy-Fraud,Fraud,Boston-Humid and Partly Cloudy,44
350,Humid and Partly Cloudy-Burglary,Burglary,Boston-Humid and Partly Cloudy,208
351,Humid and Partly Cloudy-Other,Other,Boston-Humid and Partly Cloudy,323
352,Humid and Partly Cloudy-Property,Property,Boston-Humid and Partly Cloudy,51
353,Humid and Partly Cloudy-Verbal,Verbal,Boston-Humid and Partly Cloudy,29
354,Humid and Partly Cloudy-Investigate ,Investigate ,Boston-Humid and Partly Cloudy,131
355,Humid and Partly Cloudy-Violence,Violence,Boston-Humid and Partly Cloudy,95
356,Humid and Partly Cloudy-Medical,Medical,Boston-Humid and Partly Cloudy,96
357,Humid and Partly Cloudy-Vandalism,Vandalism,Boston-Humid and Partly Cloudy,74
358,Humid and Partly Cloudy-M/V,M/V,Boston-Humid and Partly Cloudy,154
359,Humid and Partly Cloudy-Auto-Theft,Auto-Theft,Boston-Humid and Partly Cloudy,27
360,Humid and Partly Cloudy-Warrant,Warrant,Boston-Humid and Partly Cloudy,34
361,Humid and Partly Cloudy-Robbery,Robbery,Boston-Humid and Partly Cloudy,21
362,Humid and Partly Cloudy-VAL,VAL,Boston-Humid and Partly Cloudy,1
363,Humid and Partly Cloudy-Drugs,Drugs,Boston-Humid and Partly Cloudy,74
364,Humid and Partly Cloudy-Killing,Killing,Boston-Humid and Partly Cloudy,2
365,Humid and Partly Cloudy-Arson,Arson,Boston-Humid and Partly Cloudy,1
366,Humid and Partly Cloudy-Towed,,Boston-Humid and Partly Cloudy,0
367,Flurries-Fraud,Fraud,Boston-Flurries,4
368,Flurries-Burglary,Burglary,Boston-Flurries,26
369,Flurries-Other,Other,Boston-Flurries,45
370,Flurries-Property,Property,Boston-Flurries,8
371,Flurries-Verbal,Verbal,Boston-Flurries,4
372,Flurries-Investigate ,Investigate ,Boston-Flurries,22
373,Flurries-Violence,Violence,Boston-Flurries,14
374,Flurries-Medical,Medical,Boston-Flurries,12
375,Flurries-Vandalism,Vandalism,Boston-Flurries,4
376,Flurries-M/V,M/V,Boston-Flurries,21
377,Flurries-Auto-Theft,Auto-Theft,Boston-Flurries,1
378,Flurries-Warrant,Warrant,Boston-Flurries,2
379,Flurries-Robbery,Robbery,Boston-Flurries,1
380,Flurries-VAL,VAL,Boston-Flurries,1
381,Flurries-Drugs,Drugs,Boston-Flurries,9
382,Flurries-Killing,,Boston-Flurries,0
383,Flurries-Arson,,Boston-Flurries,0
384,Flurries-Towed,,Boston-Flurries,0
385,Foggy-Fraud,Fraud,Boston-Foggy,165
386,Foggy-Burglary,Burglary,Boston-Foggy,560
387,Foggy-Other,Other,Boston-Foggy,1135
388,Foggy-Property,Property,Boston-Foggy,195
389,Foggy-Verbal,Verbal,Boston-Foggy,78
390,Foggy-Investigate ,Investigate ,Boston-Foggy,365
391,Foggy-Violence,Violence,Boston-Foggy,283
392,Foggy-Medical,Medical,Boston-Foggy,345
393,Foggy-Vandalism,Vandalism,Boston-Foggy,179
394,Foggy-M/V,M/V,Boston-Foggy,492
395,Foggy-Auto-Theft,Auto-Theft,Boston-Foggy,67
396,Foggy-Warrant,Warrant,Boston-Foggy,115
397,Foggy-Robbery,Robbery,Boston-Foggy,53
398,Foggy-VAL,VAL,Boston-Foggy,6
399,Foggy-Drugs,Drugs,Boston-Foggy,136
400,Foggy-Killing,Killing,Boston-Foggy,4
401,Foggy-Arson,Arson,Boston-Foggy,1
402,Foggy-Towed,Towed,Boston-Foggy,1
403,Humid and Mostly Cloudy-Fraud,Fraud,Boston-Humid and Mostly Cloudy,61
404,Humid and Mostly Cloudy-Burglary,Burglary,Boston-Humid and Mostly Cloudy,301
405,Humid and Mostly Cloudy-Other,Other,Boston-Humid and Mostly Cloudy,449
406,Humid and Mostly Cloudy-Property,Property,Boston-Humid and Mostly Cloudy,93
407,Humid and Mostly Cloudy-Verbal,Verbal,Boston-Humid and Mostly Cloudy,40
408,Humid and Mostly Cloudy-Investigate ,Investigate ,Boston-Humid and Mostly Cloudy,202
409,Humid and Mostly Cloudy-Violence,Violence,Boston-Humid and Mostly Cloudy,172
410,Humid and Mostly Cloudy-Medical,Medical,Boston-Humid and Mostly Cloudy,139
411,Humid and Mostly Cloudy-Vandalism,Vandalism,Boston-Humid and Mostly Cloudy,105
